episode,description
0,"To take the Hunter Exam and follow in his father's footsteps, 12-year-old Gon must first fulfill a promise to Mito-san, the woman who raised him"
1,"While taking a shortcut to the exam site, Gon, Leorio and Kurapika encounter an old lady who won't let them pass till they answer a quiz question"
2,"Gon, Kurapika and Leorio reach the exam site, where many other applicants have already arrived -- including a talkative ninja named Hanzo"
3,"For the first phase of the Hunter test, Satotz assesses the applicants' endurance and psyche with a long distance run with no end in sight"
4,"After making it through the long underground tunnel, the applicants find themselves in a foggy wetland, where they're attacked by monsters"
5,"After a dustup with Hisoka, Gon and his friends make it safely to the site for the second phase of the exam, which will test their cooking abilities"
6,"Aboard an airship taking them to the exam's third phase, Gon and Killua are invited to participate in a simple game that could turn them into Hunters"
7,"The airship arrives at the site for the exam's third phase, the top of Trick Tower, where applicants must reach the bottom within 72 hours to pass"
8,Gon and his friends must win three of the next four rounds -- which include a death match between Kurapika and serial killer Majitani
9,"Gon and Kurapika win their matches, giving the group a 2-1 lead. But the opponents claim Majitani is only unconscious, so Kurapika's match isn't over"
10,"After falling for his gambling opponent's mind games, Leorio loses and puts the group in a tight spot -- with their fate resting on Killua"
11,"The group members take varied approaches to their 50-hour penalty. Once they're allowed to return to the test, they must overcome many more hurdles"
12,"Gon writes a letter to Mito-san and Grandma detailing his journey, from the day of his departure to the latest challenge at Trick Tower"
13,"For the fourth phase of the exam, the applicants head to Zevil Island, where each candidate must collect 6 points to pass"
14,"Gon waits for the perfect time to use his skill with a fishing rod to snatch Hisoka's tag. Later, Kurapika and Leorio form an alliance"
15,"Hisoka is stalking Kurapika and Leorio. After they negotiate their way out of a fight, Hisoka goes in search of a new target"
16,"Tired of being shadowed by Imori, Killua challenges him to a fight. Meanwhile, Gon, Leorio and Kurapika formulate a plan for taking Ponzu's tag"
17,"Gon and his friends are trapped inside a cave with poisonous snakes. They seek to help Leorio, who has been bitten and is growing weak"
18,"In the final phase of the Hunter Exam, the first match is Hanzo vs. Gon, who can't do anything against his opponent -- but refuses to give up"
19,"After breaking his arm in the fight against Hanzo, Gon wakes up in bed and is congratulated by Satotz for passing the Hunter Exam"
20,"Dismayed that Killua was forced to kill, Gon proclaims that he'll go to Kukuroo Mountain to rescue Killua"
21,"Upon arriving in the Republic of Podokea, Gon, Leorio and Kurapika head to Kukuroo Mountain where Killua lives. But they're blocked by a massive gate"
22,"Gon and his friends decide to pass through the Trial Gate to see Killua, but they require strength training in order to open it"
23,"With help from Canary, who's concerned about Killua, Gon and his friends get closer to the mansion -- where Killua is in solitary confinement"
24,"At the butler's office, Gon and his friends meet Goto, who challenges them to a game to determine whether they're worthy of being Killua's friends"
25,"On Whale Island, a letter from Gon arrives for Mito.Release year: 2012Gon and Killua go to Heavens Arena -- the site of round-the-clock fighting tournaments -- and learn about an energy that manifests superhuman powers"
26,"Gon and Killua arrive at Heavens Arena, where they meet a teen with astonishing strength who uses a strange technique reminiscent of Illumi's"
27,"As Wing explains the four key principles of Nen to the boys, Killua believes they aren't being told the whole story"
28,"After reaching the 200th floor, Gon and Killua run into Hisoka's barrier of Nen and decide to ask Wing for help"
29,"Facing Gido in a Heavens Arena match, Gon uses Ten to protect himself but soon finds himself defending against Gido's Dancing Tops technique"
30,"A month has passed since Gon was seriously injured, and a confident Kastro is about to fight the unflappable Hisoka in Heavens Arena"
31,"Kastro and Hisoka square off in Heaven's Arena, where Kastro seems to have the advantage after creating a clone of himself and severing Hisoka's arm"
32,"After a two-month break, Gon and Killua are allowed to practice Nen again -- prompting Gido, Sadaso and Riehlvelt to press for a fight in the arena"
33,"In a fight against Gido, Gon withstands his attacks and overwhelms him, which impresses Hisoka"
34,"Gon and Killua begin training in Hatsu. Later, Gon challenges Hisoka to return the favor from the Hunter Exam"
35,"After punching Hisoka in the face, Gon returns the tag from the Hunter Exam. Hisoka is ecstatic to see Gon's development"
36,"After learning Nen and becoming a true Hunter, Gon returns to Whale Island, where Mito gives him a box from his father"
37,"Gon hears a recording of his father's voice on a cassette tape. But when the tape is stopped, the message is erased.Release year: 2012At the world's largest auction in Yorknew City, Gon, Killua and Leorio try to buy a video game that could help Gon find his father"
38,"The Phantom Troupe is Kurapika's most hated enemy. Five years ago, they took his relatives and friends, along with their scarlet eyes"
39,Kurapika and the other job seekers arrive at the home of a human trophy collector and are attacked by an unknown force
40,The biggest auction in the world is about to take place in Yorknew City. The Phantom Troupe leader has instructed the members to gather in the city
41,"The auction is finally about to begin. Gon, Killua and Leorio are working hard to amass enough money to buy Greed Island"
42,"The Phantom Troupe attacks the underground auction held by the Mafia. Afterward, there is no sign of the merchandise or guests"
43,"After Uvogin slaughters the Mafia's pursuit, the Mafia dispatches their secret weapon, the Shadow Beasts"
44,"Kurapika is able to capture Uvogin, a member of the Phantom Troupe. Kurapika struggles to control his rage as Uvogin makes demands"
45,"Uvogin was able to escape. However, after the blow to his pride, he is determined to track down Kurapika and defeat him"
46,"Kurapika finds himself face-to-face with Uvogin, a member of the Phantom Troupe that destroyed his Kurta clan"
47,"Gon, Killua and Leorio are trying to get their hands on enough money to buy Greed Island"
48,Gon and Killua have been captured by the Phantom Troupe. They are questioned about the chain user that the Troupe is searching for
49,Gon and his friends are hoping to win the reward that's been placed on the Phantom Troupe
50,"The auction has been rescheduled, and the Mafia expects the Phantom Troupe to attack again"
51,"The Troupe is attacking the auction with all their power. The Ten Dons' hired assassins are no match, except for Zeno and Silva"
52,"The leader of the Phantom Troupe is dead, and Kurapika is shocked by the news. Unconvinced, he tries to get a glimpse of the body"
53,"Gon, Killua, Kurapika and Leorio are finally reunited. Kurapika reveals his Nen powers to the others"
54,"After Chrollo tells fortunes for all of the Troupe members, they suspect that Hisoka has betrayed them"
55,"Chrollo uses the information he has on Neon to identify the location of the chain user, Kurapika"
56,The Phantom Troupe has learned that Kurapika was the one who killed Uvogin. Chrollo takes Gon and Killua to the hotel lobby
